"filename", "language", "Markdown", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "HTML", "MS SQL", "Python", "Batch", "pip requirements", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\om\OneDrive\Desktop\French 2.0\.claude\settings.json", "JSON with Comments", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\om\OneDrive\Desktop\French 2.0\CLAUDE.md", "Markdown", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 85
"c:\Users\om\OneDrive\Desktop\French 2.0\COMPONENT_REFERENCE.md", "Markdown", 520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 639
"c:\Users\om\OneDrive\Desktop\French 2.0\IMPLEMENTATION_CHECKLIST.md", "Markdown", 398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 490
"c:\Users\om\OneDrive\Desktop\French 2.0\QUICK_START.md", "Markdown", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 421
"c:\Users\om\OneDrive\Desktop\French 2.0\README_REDESIGN.md", "Markdown", 315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 412
"c:\Users\om\OneDrive\Desktop\French 2.0\REDESIGN_SUMMARY.md", "Markdown", 345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 444
"c:\Users\om\OneDrive\Desktop\French 2.0\UI_UX_IMPLEMENTATION_GUIDE.md", "Markdown", 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 586
"c:\Users\om\OneDrive\Desktop\French 2.0\backend\README.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42
"c:\Users\om\OneDrive\Desktop\French 2.0\backend\data\igcse_master.json", "JSON", 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 241
"c:\Users\om\OneDrive\Desktop\French 2.0\backend\data\papers.json", "JSON", 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 216
"c:\Users\om\OneDrive\Desktop\French 2.0\backend\data\questions.json", "JSON", 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 204
"c:\Users\om\OneDrive\Desktop\French 2.0\backend\data\roleplays.json", "JSON", 0, 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 309
"c:\Users\om\OneDrive\Desktop\French 2.0\backend\data\topic_conversations.json", "JSON", 0, 0, 527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 528
"c:\Users\om\OneDrive\Desktop\French 2.0\backend\db\db_logic.py", "Python", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 32, 28, 179
"c:\Users\om\OneDrive\Desktop\French 2.0\backend\db\load_data.py", "Python", 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 4, 25, 184
"c:\Users\om\OneDrive\Desktop\French 2.0\backend\db\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 13, 23, 93
"c:\Users\om\OneDrive\Desktop\French 2.0\backend\db\schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
